,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
5,2021-02-10,1280094,837070.30,313061,6.0,4.0,3379.0,7407.0,23,6,2017,1.0,5.0,2.0,2100.00
10,2021-02-10,1280985,187622.84,129311,4.0,2.0,1233.0,7102.0,23,11,2019,0.0,5.0,1.0,211100.00
34,2021-02-08,1273996,230867.42,279954,4.0,2.0,1810.0,6312.0,15,8,2019,1.0,10.0,0.0,370200.00
39,2021-02-08,1278771,178186.48,125398,3.0,2.0,1775.0,8475.0,15,13,2020,1.0,6.0,1.0,267200.00
581,2020-11-23,1275642,779817.27,432555,3.0,2.0,1680.0,8125.0,21,14,2019,0.0,3.0,1.0,5100.0
3039,2020-01-13,1244729,362199.07,187261,4.0,2.0,1922.0,5915.0,72,1,2009,0.0,2.0,9.0,285300.0
3794,2019-11-27,1238504,287253.96,215000,2.0,3.0,1917.0,2124.0,51,43,2019,1.0,3.0,1.0,226600.0
4028,2019-11-12,1222450,708798.92,283598,4.0,2.0,3004.0,6000.0,109,27,2016,1.0,3.0,2.0,4100.0
4396,2019-10-23,1231269,215569.98,206152,5.0,2.0,1906.0,8840.0,44,6,2016,0.0,5.0,1.0,178900.0
6315,2019-06-26,1215361,113451.09,93781,2.0,1.0,645.0,1250.0,25,11,2018,1.0,8.0,1.0,125400.0
6863,2019-05-28,1206017,268473.91,297407,3.0,1.0,1173.0,9265.0,98,67,2018,0.0,3.0,1.0,275200.0
6958,2019-05-20,1207694,219964.6,189612,3.0,2.0,1364.0,4501.0,54,17,2016,1.0,7.0,4.0,205200.0
7602,2019-04-10,1200205,378091.92,313202,4.0,3.0,2346.0,8107.0,33,4,2010,0.0,8.0,7.0,295700.0
8966,2019-01-22,1190026,256527.91,148000,4.0,2.0,1227.0,4541.0,126,98,2017,1.0,6.0,1.0,112800.0
9126,2019-01-15,1184112,222164.03,232217,2.0,1.0,941.0,5460.0,41,1,2009,0.0,4.0,5.0,260300.0
9247,2019-01-09,1185103,332334.99,263322,6.0,4.0,2575.0,10350.0,68,63,2018,0.0,3.0,1.0,261500.0
9734,2018-12-10,1178032,2100897.76,789570,4.0,4.0,3750.0,21600.0,84,39,2017,0.0,5.0,4.0,10100.0
11078,2018-10-09,1158706,472496.6,230000,4.0,3.0,1507.0,1.0,70,52,2017,1.0,6.0,1.0,240300.0
13173,2018-07-06,1156604,635928.23,193779,3.0,2.0,1850.0,130680.0,62,41,2017,0.0,3.0,1.0,450100.0
14144,2018-05-21,1143882,402565.02,191000,3.0,2.0,1656.0,1896.0,57,10,2013,1.0,5.0,2.0,450100.0
14796,2018-04-18,1143276,266538.23,124060,2.0,2.0,1678.0,5250.0,25,3,2014,1.0,3.0,3.0,282100.0
15158,2018-04-05,1132660,816005.11,325023,5.0,3.0,3399.0,5000.0,113,51,2017,1.0,5.0,1.0,284200.0
16912,2018-01-22,1121527,594186.33,451619,5.0,4.0,2786.0,7500.0,60,13,2014,1.0,84.0,3.0,411900.0
17144,2018-01-12,1118367,288648.69,68722,8.0,2.0,2474.0,5600.0,48,13,2015,1.0,3.0,6.0,108100.0
17331,2018-01-08,1114141,145630.22,108847,3.0,1.0,1162.0,2210.0,97,40,2015,1.0,10.0,1.0,83700.0
17722,2017-12-13,1119993,272290.75,464531,6.0,3.0,3430.0,7500.0,60,8,2012,0.0,3.0,5.0,317100.0
18102,2017-11-21,1108126,420680.44,417560,3.0,2.0,2717.0,15000.0,35,5,2013,0.0,4.0,1.0,383700.0
18565,2017-10-30,1098352,345020.94,197619,4.0,2.0,1450.0,5680.0,66,12,2012,1.0,16.0,1.0,211200.0
19266,2017-10-03,1109317,187608.55,263655,3.0,2.0,1669.0,5250.0,55,11,2014,1.0,9.0,5.0,257000.0
19449,2017-09-26,1108075,568922.64,321354,0.0,0.0,1836.0,9300.0,57,56,2017,0.0,3.0,1.0,381100.0
21205,2017-07-31,1091134,565804.25,185682,0.0,1.0,485.0,1.0,43,3,2010,1.0,5.0,3.0,157100.0
21469,2017-07-21,1078225,322923.96,229614,2.0,2.0,1634.0,10650.0,48,13,2014,1.0,9.0,1.0,150300.0
21751,2017-07-13,1093147,284325.42,131288,3.0,2.0,1290.0,5500.0,16,2,2012,1.0,3.0,6.0,240100.0
22266,2017-06-22,1088364,129193.62,107415,3.0,1.0,1162.0,2210.0,111,50,2017,1.0,4.0,1.0,20100.0
24460,2017-04-10,1057752,287686.99,229231,4.0,2.0,2466.0,10934.0,83,41,2014,0.0,4.0,1.0,193500.0
24831,2017-03-28,1065496,132470.21,50552,3.0,2.0,1690.0,5400.0,43,16,2015,1.0,8.0,1.0,56300.0
25151,2017-03-17,1064521,330302.79,239250,0.0,0.0,1796.0,4140.0,28,4,2011,0.0,8.0,4.0,183000.0
